,Model,MinSigI,MaxSigI,MedianSigI
0,DeepSetVAE_weight_1.0,0.0,99.11125740618827,4.26710097719869
1,DeepSetVAE_weight_10.0,0.0,88.0184331797235,2.0256028372598633
2,KDE,0.0,8.8035815619371,0.6450809464508089
3,SimpleAE,0.23166869305262772,81.55481450604418,2.6229973061108702
4,ConvF,0.018315018315018,39.95414756148395,1.011235955056179
5,Planar,0.048780487804877995,41.41308878699458,0.993399339933993
6,DAGMM_0.01,0.0,19.17808219178082,0.7787298387096769
7,DAGMM_0.001,0.0,16.43835616438356,0.7560483870967739
8,ALAD_bs500_L1,0.018315018315018,80.63776573572322,0.8349146110056919
9,ALAD_bs500_L2,0.018315018315018,82.09670696123385,1.0253595345262918
10,ALAD_bs500_F,0.0,78.70309414088216,0.9545906529665229
11,ALAD_bs500_CH,0.0,35.95890410958904,1.454849498327759
12,ALAD_bs5000_L1,0.015822784810126,78.09503959983326,0.38822947576656697
13,ALAD_bs5000_L2,0.015822784810126,81.13797415589829,0.5572295436420039
14,ALAD_bs5000_F,0.026371308016876996,84.32680283451438,0.5692599620493349
15,ALAD_bs5000_CH,0.018315018315018,71.57534246575342,0.871287128712871
16,Combined-AND-VAE_beta1_z21-Flow,0.036630036630036,99.08295122967904,2.976848043248325
17,Combined-AVG-VAE_beta1_z21-Flow,0.036630036630036,99.10379324718632,3.208367610765072
18,Combined-AND-DeepSVDD_MSE-Flow,0.018315018315018,96.90585911784068,2.264733505797156
19,Combined-AVG-DeepSVDD_MSE-Flow,0.018315018315018,97.55852430572016,2.3097112860892377
20,Combined-OR-DeepSVDD_MSE-Flow,0.18315018315018,100.0,19.02280130293159
21,Combined-PROD-DeepSVDD_MSE-Flow,0.0,96.70696123384744,1.5069860279441119
22,Combined-OR-VAE_beta1_z21-Flow,0.018315018315018,93.4931506849315,1.9003735990037358
23,Combined-PROD-VAE_beta1_z21-Flow,0.036630036630036,99.10379324718632,3.2013162533787747
24,Flow-Efficient_Likelihood,0.18315018315018,10.0,1.8006522047355729
25,Flow-Efficient-No-E_Likelihood,0.018315018315018,29.42803199802379,1.819026384243775
26,VAE-dynamic-beta1-z13_Radius,0.0,92.68445185493957,1.8516943144761089
27,Random guess,0.0,0.254083484573502,0.10539027335602098
