Model,ShortName,MinTotalImprovement,MedianTotalImprovement,MaxTotalImprovement
Flow-Efficient_Likelihood,Flow-Efficient$\_$Likelihood,0.8999999999999999,15.0,54.0
Combined-AND-DeepSVDD-Flow,Combined-AND-DeepSVDD-Flow,0.31622776601683794,10.0,79.0
Combined-AVG-DeepSVDD-Flow,Combined-AVG-DeepSVDD-Flow,0.7999999999999999,10.0,97.0
Flow-Efficient-No-E_Likelihood,Flow-Efficient-No-E$\_$Likelihood,0.31622776601683794,8.0,53.0
Combined-PROD-DeepSVDD-Flow,Combined-PROD-DeepSVDD-Flow,0.0,7.905694150420949,24.0
Combined-AND-VAE_beta1_z21-Flow,Combined-AND-VAE$\_$beta1$\_$z21-Flow,0.09999999999999999,7.000000000000001,66.0
Combined-OR-DeepSVDD-Flow,Combined-OR-DeepSVDD-Flow,0.5,6.3,31.0
Combined-OR-VAE_beta1_z21-Flow,Combined-OR-VAE$\_$beta1$\_$z21-Flow,0.3,6.3,22.0
Combined-AVG-VAE_beta1_z21-Flow,Combined-AVG-VAE$\_$beta1$\_$z21-Flow,0.09999999999999999,6.0,69.0
Combined-PROD-VAE_beta1_z21-Flow,Combined-PROD-VAE$\_$beta1$\_$z21-Flow,0.09999999999999999,6.0,69.0
DeepSetVAE_beta_1.0_weight_10.0,DeepSetVAE$\_$weight$\_$10.0,0.08333333333333333,3.74761070720423,18.806492372866877
DeepSetVAE_beta_1.0_weight_1.0,DeepSetVAE$\_$weight$\_$1.0,0.027777777777777783,3.503582933762497,16.906776618096718
ALAD_ld10_lr1e-5_bs500_epoch2000_enc512_F_sc,ALAD$\_$bs500$\_$F,0.19444444444444445,2.8511530398322846,14.627
DAGMM_10_1e-07_1000_0.01_0.01_50_15_8,DAGMM$\_$0.01,0.0,2.314541850035057,6.512162420992147
DAGMM_10_1e-07_1000_0.001_0.01_50_15_8,DAGMM$\_$0.001,0.0,2.314541850035057,6.512162420992147
VAE_PlanarFlow,Planar,0.12349309026756836,2.283526101906846,3.448916037848844
VAE-dynamic-beta1-z13_Radius,VAE-dynamic-beta1-z13$\_$Radius,0.0,2.1999999999999997,28.000000000000004
ALAD_ld10_lr1e-5_bs5000_epoch2000_enc512_F_sc,ALAD$\_$bs5000$\_$F,0.27777777777777785,2.198706643151088,17.40318750960865
KDE_PCA_D=9,KDE,0.0,1.4285714285714284,12.246302212511516
ALAD_ld10_lr1e-5_bs5000_epoch2000_enc512_L_1,ALAD$\_$bs5000$\_$L1,0.0,1.4034800054505703,24.26864688445069
ALAD_ld10_lr1e-5_bs5000_epoch2000_enc512_L_2,ALAD$\_$bs5000$\_$L2,0.0,1.2121212121212124,20.72906168326472
ALAD_ld10_lr1e-5_bs5000_epoch2000_enc512_L_sc,ALAD$\_$bs5000$\_$CH,0.0,1.060398078242965,36.93744947150942
ALAD_ld10_lr1e-5_bs500_epoch2000_enc512_L_1,ALAD$\_$bs500$\_$L1,0.03215434083601286,1.05718954248366,28.26900619816151
ALAD_ld10_lr1e-5_bs500_epoch2000_enc512_L_sc,ALAD$\_$bs500$\_$CH,0.22222222222222227,1.042483660130719,38.16809893104171
SimpleAE,SimpleAE,0.2033660763254285,0.9803060746521977,39.6
ALAD_ld10_lr1e-5_bs500_epoch2000_enc512_L_2,ALAD$\_$bs500$\_$L2,0.16666666666666666,0.9084302325581396,21.485796279530586
VAE_ConvolutionalFlow,ConvF,0.060240963855421686,0.11792452830188678,0.2101127434233003
